date,open,high,low,close,volume
2020-09-18 09:30:00,116.63,116.63,115.26,115.26,24292.0
2020-09-18 09:31:00,115.43,116.5,115.43,116.14,2852587.0
2020-09-18 09:32:00,116.21,116.7,116.17,116.7,68555.0
2020-09-18 09:33:00,116.64,117.15,116.64,116.9575,66379.0
2020-09-18 09:34:00,116.94,116.99,116.8,116.962,81021.0
2020-09-18 09:35:00,116.9681,117.16,116.8801,116.8801,85262.0
2020-09-18 09:36:00,116.88,116.91,116.51,116.54,64520.0
2020-09-18 09:37:00,116.53,116.785,116.5,116.78,61248.0
2020-09-18 09:38:00,116.779,117.0,116.7601,116.98,36759.0
2020-09-18 09:39:00,117.0,117.02,116.7011,116.8273,45709.0
2020-09-18 09:40:00,116.828,117.29,116.81,117.199,24073.0
2020-09-18 09:41:00,117.19,117.3,116.9,117.3,92124.0
2020-09-18 09:42:00,117.29,117.83,117.29,117.785,123254.0
2020-09-18 09:43:00,117.77,117.78,117.36,117.5,99534.0
2020-09-18 09:44:00,117.5329,117.62,117.39,117.62,45845.0
2020-09-18 09:45:00,117.63,117.91,117.63,117.745,59166.0
2020-09-18 09:46:00,117.73,117.79,117.6566,117.67,38401.0
2020-09-18 09:47:00,117.69,117.8,117.66,117.7875,36025.0
2020-09-18 09:48:00,117.79,117.7961,117.65,117.67,36484.0
2020-09-18 09:49:00,117.68,117.69,117.46,117.46,46975.0
2020-09-18 09:50:00,117.465,117.48,117.185,117.205,53078.0
2020-09-18 09:51:00,117.19,117.27,117.04,117.1,58480.0
2020-09-18 09:52:00,117.1,117.37,117.1,117.245,21450.0
2020-09-18 09:53:00,117.24,117.34,117.13,117.24,37167.0
2020-09-18 09:54:00,117.235,117.56,117.23,117.4,26311.0
2020-09-18 09:55:00,117.3943,117.65,117.34,117.53,17136.0
2020-09-18 09:56:00,117.52,117.52,117.38,117.4162,21747.0
2020-09-18 09:57:00,117.41,117.6199,117.4,117.5,30805.0
2020-09-18 09:58:00,117.5,117.55,117.29,117.3001,22012.0
2020-09-18 09:59:00,117.315,117.34,116.96,116.97,37101.0
2020-09-18 10:00:00,116.96,117.31,116.82,117.21,59806.0
2020-09-18 10:01:00,117.25,117.41,117.18,117.39,27661.0
2020-09-18 10:02:00,117.395,117.63,117.38,117.6273,26403.0
